campaign_id,date,campaign_name,channel,spend,impressions,clicks,conversions,revenue
CMP2001,2025-03-10,SparkAds_Influencer,TikTok Ads,1429.99,69248,1571,54,5991.9
CMP2002,2025-03-08,PreRoll_BrandAwareness,YouTube Ads,166.22,10761,77,5,862.95
CMP2003,2025-03-22,Retargeting_AddToCart,Meta Ads,1266.41,5887,284,5,825.0
CMP2004,2025-03-24,InFeedVideo_GenZ_Trend,TikTok Ads,634.45,16886,294,19,1757.76
CMP2005,2025-04-24,Search_Brand_Core,Google Ads,58.19,778,31,1,66.97
CMP2006,2025-04-23,PerformanceMax_Retail,Google Ads,393.98,5548,187,13,750.44
CMP2007,2025-04-05,PerformanceMax_Retail,Google Ads,408.28,3056,143,8,1092.53
CMP2008,2025-03-22,BumperAds_SummerSale,YouTube Ads,836.6,3925,196,7,340.7
CMP2009,2025-03-07,JobHolders_TechSkill,LinkedIn Ads,416.17,2352,108,6,884.24
CMP2010,2025-04-02,SparkAds_Influencer,TikTok Ads,263.42,1942,85,1,145.54
CMP2011,2025-04-15,PerformanceMax_Retail,Google Ads,123.54,3027,45,1,126.96
CMP2012,2025-04-11,BumperAds_SummerSale,YouTube Ads,533.92,257616,2610,61,6925.92
CMP2013,2025-04-16,PreRoll_BrandAwareness,YouTube Ads,113.72,3511,34,1,61.21
CMP2014,2025-04-12,InFeedVideo_GenZ_Trend,TikTok Ads,1066.21,30602,1253,89,4146.87
CMP2015,2025-03-13,Prospecting_Lookalike_US,Meta Ads,186.79,7264,246,4,197.41
CMP2016,2025-04-30,InFeedVideo_GenZ_Trend,TikTok Ads,833.77,18372,376,15,1007.83
CMP2017,2025-04-07,JobHolders_TechSkill,LinkedIn Ads,260.73,10435,246,18,2226.65
CMP2018,2025-03-26,B2B_DecisionMakers,LinkedIn Ads,326.19,3189,72,2,155.96
CMP2019,2025-03-20,Search_Brand_Core,Google Ads,1488.66,37372,577,6,307.2
CMP2020,2025-03-20,Search_Brand_Core,Google Ads,1240.52,20836,736,30,4258.47
CMP2021,2025-03-12,Search_Brand_Core,Google Ads,1054.86,6338,273,13,809.27
CMP2022,2025-04-14,PerformanceMax_Retail,Google Ads,1116.05,12468,347,7,654.51
CMP2023,2025-03-29,Prospecting_Lookalike_US,Meta Ads,1368.71,15997,495,36,1808.79
CMP2024,2025-03-30,Retargeting_AddToCart,Meta Ads,897.67,33309,333,10,1608.47
CMP2025,2025-04-07,PreRoll_BrandAwareness,YouTube Ads,118.36,1314,32,1,175.43
CMP2026,2025-03-05,Search_NonBrand_Generic,Google Ads,653.53,9388,250,14,1135.69
CMP2027,2025-04-13,PerformanceMax_Retail,Google Ads,871.66,17666,200,12,1461.46
CMP2028,2025-03-11,JobHolders_TechSkill,LinkedIn Ads,1087.34,9601,327,14,1193.28
CMP2029,2025-04-13,SparkAds_Influencer,TikTok Ads,378.95,2307,108,2,336.21
CMP2030,2025-03-15,PreRoll_BrandAwareness,YouTube Ads,844.61,36445,1217,16,1710.9
CMP2031,2025-04-02,InFeedVideo_GenZ_Trend,TikTok Ads,764.0,5027,177,8,606.71
CMP2032,2025-04-08,PreRoll_BrandAwareness,YouTube Ads,1048.35,104849,3253,85,15139.54
CMP2033,2025-03-01,Search_Brand_Core,Google Ads,582.32,11315,376,6,496.16
CMP2034,2025-04-25,InFeedVideo_GenZ_Trend,TikTok Ads,521.99,19681,627,34,2090.39
CMP2035,2025-03-13,InFeedVideo_GenZ_Trend,TikTok Ads,177.0,3289,63,1,55.51
CMP2036,2025-04-29,Search_Brand_Core,Google Ads,1367.71,41567,1597,110,5049.43
CMP2037,2025-04-04,SparkAds_Influencer,TikTok Ads,60.61,1077,26,0,0.0
CMP2038,2025-03-12,Retargeting_AddToCart,Meta Ads,417.44,4214,97,7,664.07
CMP2039,2025-03-22,PerformanceMax_Retail,Google Ads,435.88,8667,112,6,317.99
CMP2040,2025-03-23,Search_Brand_Core,Google Ads,1191.88,36925,540,30,2201.94
CMP2041,2025-04-30,Search_NonBrand_Generic,Google Ads,1266.0,144147,3957,313,47163.91
CMP2042,2025-03-23,PerformanceMax_Retail,Google Ads,424.44,5114,158,9,723.61
CMP2043,2025-03-26,JobHolders_TechSkill,LinkedIn Ads,278.14,30008,398,17,1631.33
CMP2044,2025-03-27,Retargeting_AddToCart,Meta Ads,1129.79,35449,459,12,511.82
CMP2045,2025-04-20,JobHolders_TechSkill,LinkedIn Ads,367.79,4284,86,5,616.87
CMP2046,2025-03-31,JobHolders_TechSkill,LinkedIn Ads,1341.75,15119,422,29,4189.0
CMP2047,2025-03-24,B2B_DecisionMakers,LinkedIn Ads,634.95,40733,1970,149,17127.31
CMP2048,2025-04-18,Search_NonBrand_Generic,Google Ads,960.49,8282,220,6,886.55
CMP2049,2025-04-05,Search_NonBrand_Generic,Google Ads,1042.44,19158,253,4,434.75
CMP2050,2025-04-11,Instagram_Stories_Promo,Meta Ads,173.7,5080,61,2,91.11
CMP2051,2025-03-22,InFeedVideo_GenZ_Trend,TikTok Ads,1220.69,37115,599,34,4230.03
CMP2052,2025-03-06,SparkAds_Influencer,TikTok Ads,1450.47,384344,9247,384,53957.36
CMP2053,2025-03-19,Retargeting_AddToCart,Meta Ads,759.34,5406,233,4,238.82
CMP2054,2025-04-22,JobHolders_TechSkill,LinkedIn Ads,63.17,311,14,0,0.0
CMP2055,2025-04-20,PreRoll_BrandAwareness,YouTube Ads,257.36,1727,68,1,106.3
CMP2056,2025-03-12,SparkAds_Influencer,TikTok Ads,480.35,5559,124,6,893.77
CMP2057,2025-03-31,PerformanceMax_Retail,Google Ads,877.42,38454,248,15,642.88
CMP2058,2025-03-28,SparkAds_Influencer,TikTok Ads,370.99,38264,576,21,1750.81
CMP2059,2025-04-17,Instagram_Stories_Promo,Meta Ads,742.68,8797,263,14,1241.42
CMP2060,2025-03-27,B2B_DecisionMakers,LinkedIn Ads,662.14,6647,149,4,464.05
CMP2061,2025-04-10,JobHolders_TechSkill,LinkedIn Ads,647.12,6386,314,14,2051.15
CMP2062,2025-03-23,B2B_DecisionMakers,LinkedIn Ads,161.03,5761,235,16,2122.43
CMP2063,2025-03-18,Search_Brand_Core,Google Ads,1073.94,10523,439,30,4360.77
CMP2064,2025-04-20,B2B_DecisionMakers,LinkedIn Ads,1375.19,8142,369,12,2154.12
CMP2065,2025-04-27,Instagram_Stories_Promo,Meta Ads,1281.53,12223,377,17,2896.19
CMP2066,2025-03-19,JobHolders_TechSkill,LinkedIn Ads,1404.27,89262,1076,34,3463.46
CMP2067,2025-04-02,Prospecting_Lookalike_US,Meta Ads,400.73,19400,508,10,893.73
CMP2068,2025-03-12,Instagram_Stories_Promo,Meta Ads,1336.9,22999,409,27,2911.9
CMP2069,2025-04-05,BumperAds_SummerSale,YouTube Ads,888.61,13476,547,29,3436.27
CMP2070,2025-03-31,JobHolders_TechSkill,LinkedIn Ads,1097.16,141325,4046,155,9267.29
CMP2071,2025-03-22,BumperAds_SummerSale,YouTube Ads,556.67,30136,312,7,1005.07
CMP2072,2025-04-15,Search_Brand_Core,Google Ads,726.93,91445,711,42,4918.03
CMP2073,2025-03-30,BumperAds_SummerSale,YouTube Ads,153.88,9661,263,10,1457.33
CMP2074,2025-03-19,PreRoll_BrandAwareness,YouTube Ads,876.17,22606,264,3,310.65
CMP2075,2025-03-06,B2B_DecisionMakers,LinkedIn Ads,882.57,6078,284,17,1928.18
CMP2076,2025-04-29,Search_Brand_Core,Google Ads,1344.13,9875,371,25,2021.23
CMP2077,2025-04-09,B2B_DecisionMakers,LinkedIn Ads,711.84,4720,179,10,986.63
CMP2078,2025-04-17,BumperAds_SummerSale,YouTube Ads,1152.7,12367,340,4,711.36
CMP2079,2025-04-16,SparkAds_Influencer,TikTok Ads,937.66,6707,248,9,1057.25
CMP2080,2025-04-18,PreRoll_BrandAwareness,YouTube Ads,197.61,9159,206,2,306.69
CMP2081,2025-03-11,PreRoll_BrandAwareness,YouTube Ads,500.6,32565,1086,15,1300.14
CMP2082,2025-03-07,BumperAds_SummerSale,YouTube Ads,947.14,6278,279,4,661.51
CMP2083,2025-03-26,BumperAds_SummerSale,YouTube Ads,1162.81,12359,285,20,2207.7
CMP2084,2025-04-13,B2B_DecisionMakers,LinkedIn Ads,1137.42,11186,337,4,644.31
CMP2085,2025-04-05,SparkAds_Influencer,TikTok Ads,218.26,20918,731,43,4908.44
CMP2086,2025-04-05,PreRoll_BrandAwareness,YouTube Ads,1222.51,16205,572,9,381.19
CMP2087,2025-04-05,Search_NonBrand_Generic,Google Ads,815.64,7762,259,3,213.5
CMP2088,2025-04-24,Retargeting_AddToCart,Meta Ads,208.11,2894,96,4,710.02
CMP2089,2025-04-20,SparkAds_Influencer,TikTok Ads,693.96,11013,347,19,2563.04
CMP2090,2025-03-05,JobHolders_TechSkill,LinkedIn Ads,610.04,15328,148,11,1786.17
CMP2091,2025-03-05,PreRoll_BrandAwareness,YouTube Ads,528.14,16738,539,38,4146.74
CMP2092,2025-04-03,Search_NonBrand_Generic,Google Ads,1150.92,19633,421,6,504.28
CMP2093,2025-03-12,InFeedVideo_GenZ_Trend,TikTok Ads,875.97,18500,644,26,3326.02
CMP2094,2025-03-13,PreRoll_BrandAwareness,YouTube Ads,973.01,14927,706,36,5162.32
CMP2095,2025-04-08,InFeedVideo_GenZ_Trend,TikTok Ads,52.94,1946,18,1,155.3
CMP2096,2025-04-08,Search_NonBrand_Generic,Google Ads,318.18,2591,101,2,244.98
CMP2097,2025-03-18,SparkAds_Influencer,TikTok Ads,1218.74,62780,1307,87,10440.98
CMP2098,2025-03-17,SparkAds_Influencer,TikTok Ads,981.58,156453,1350,98,13829.42
CMP2099,2025-04-29,SparkAds_Influencer,TikTok Ads,1471.69,7519,348,3,385.26
CMP2100,2025-04-04,Prospecting_Lookalike_US,Meta Ads,105.97,5331,176,10,949.99
CMP2101,2025-03-31,BumperAds_SummerSale,YouTube Ads,1026.86,12905,443,16,853.34
CMP2102,2025-03-02,Retargeting_AddToCart,Meta Ads,646.52,34606,737,48,3532.23
CMP2103,2025-03-22,Instagram_Stories_Promo,Meta Ads,1364.89,7983,359,19,1213.61
CMP2104,2025-03-27,InFeedVideo_GenZ_Trend,TikTok Ads,701.71,15504,367,8,392.88
CMP2105,2025-04-25,B2B_DecisionMakers,LinkedIn Ads,1128.61,10321,499,9,424.69
CMP2106,2025-04-29,BumperAds_SummerSale,YouTube Ads,798.9,7004,244,15,1678.74
CMP2107,2025-04-20,PreRoll_BrandAwareness,YouTube Ads,235.44,3179,112,6,612.83
CMP2108,2025-04-07,SparkAds_Influencer,TikTok Ads,369.9,15001,280,5,619.04
CMP2109,2025-04-07,PreRoll_BrandAwareness,YouTube Ads,393.82,20471,652,13,761.8
CMP2110,2025-03-30,Instagram_Stories_Promo,Meta Ads,473.73,48769,356,27,4105.3
CMP2111,2025-04-03,PerformanceMax_Retail,Google Ads,1124.02,29223,436,27,3067.05
CMP2112,2025-03-23,PerformanceMax_Retail,Google Ads,445.84,6669,171,7,833.14
CMP2113,2025-03-07,Search_Brand_Core,Google Ads,1205.49,60763,971,26,2343.77
CMP2114,2025-04-10,B2B_DecisionMakers,LinkedIn Ads,1201.51,26623,354,14,1699.01
CMP2115,2025-04-20,B2B_DecisionMakers,LinkedIn Ads,208.35,31508,429,10,638.21
CMP2116,2025-04-27,InFeedVideo_GenZ_Trend,TikTok Ads,100.53,865,35,0,0.0
CMP2117,2025-04-24,Search_NonBrand_Generic,Google Ads,1149.71,10195,324,8,857.47
CMP2118,2025-04-30,PerformanceMax_Retail,Google Ads,685.1,7221,309,18,1260.92
CMP2119,2025-03-04,Prospecting_Lookalike_US,Meta Ads,847.47,44277,833,13,1475.28
CMP2120,2025-04-19,SparkAds_Influencer,TikTok Ads,1148.77,8931,351,9,1134.14
CMP2121,2025-04-28,SparkAds_Influencer,TikTok Ads,181.68,2149,77,2,94.2
CMP2122,2025-04-03,Prospecting_Lookalike_US,Meta Ads,796.32,29129,195,14,1414.8
CMP2123,2025-03-18,Prospecting_Lookalike_US,Meta Ads,151.23,3683,64,1,80.74
CMP2124,2025-04-11,Prospecting_Lookalike_US,Meta Ads,996.41,13403,465,17,736.61
CMP2125,2025-03-20,JobHolders_TechSkill,LinkedIn Ads,1497.34,108753,4316,83,7162.65
CMP2126,2025-04-15,JobHolders_TechSkill,LinkedIn Ads,96.54,3750,69,3,335.15
CMP2127,2025-03-30,Search_Brand_Core,Google Ads,688.06,27866,318,15,901.79
CMP2128,2025-03-25,B2B_DecisionMakers,LinkedIn Ads,414.8,14539,159,1,59.48
CMP2129,2025-04-14,B2B_DecisionMakers,LinkedIn Ads,675.57,27291,671,8,532.72
CMP2130,2025-04-29,Search_Brand_Core,Google Ads,509.09,5219,227,16,842.53
CMP2131,2025-04-09,Search_NonBrand_Generic,Google Ads,451.69,7773,143,2,98.88
CMP2132,2025-03-16,Search_Brand_Core,Google Ads,1412.51,195189,3860,99,7838.75
CMP2133,2025-04-26,Instagram_Stories_Promo,Meta Ads,894.08,42272,323,20,3506.11
CMP2134,2025-04-03,Retargeting_AddToCart,Meta Ads,1061.3,15348,409,20,3005.27
CMP2135,2025-04-19,SparkAds_Influencer,TikTok Ads,1068.33,19650,859,10,1705.22
CMP2136,2025-04-11,Prospecting_Lookalike_US,Meta Ads,762.14,10648,189,3,143.31
CMP2137,2025-04-10,Retargeting_AddToCart,Meta Ads,1252.58,21367,282,6,460.91
CMP2138,2025-03-28,Search_Brand_Core,Google Ads,131.68,10133,71,4,475.33
CMP2139,2025-04-19,SparkAds_Influencer,TikTok Ads,298.71,60537,441,30,4367.18
CMP2140,2025-04-15,B2B_DecisionMakers,LinkedIn Ads,1111.74,79644,2118,79,11925.71
CMP2141,2025-03-15,B2B_DecisionMakers,LinkedIn Ads,456.26,6335,299,21,3715.35
CMP2142,2025-03-23,BumperAds_SummerSale,YouTube Ads,1404.81,24953,606,39,5726.07
CMP2143,2025-03-23,B2B_DecisionMakers,LinkedIn Ads,1054.14,9364,288,21,1395.64
CMP2144,2025-04-11,JobHolders_TechSkill,LinkedIn Ads,1225.05,23764,966,55,7796.9
CMP2145,2025-04-29,Retargeting_AddToCart,Meta Ads,1336.79,21428,808,10,1534.6
CMP2146,2025-04-18,SparkAds_Influencer,TikTok Ads,1146.77,29391,1431,88,5417.32
CMP2147,2025-04-12,PreRoll_BrandAwareness,YouTube Ads,293.74,1889,91,7,711.04
CMP2148,2025-03-29,Prospecting_Lookalike_US,Meta Ads,1196.72,10849,386,27,2259.37
CMP2149,2025-03-23,Search_NonBrand_Generic,Google Ads,1353.49,50344,853,62,4152.62
CMP2150,2025-04-28,InFeedVideo_GenZ_Trend,TikTok Ads,436.13,2632,111,4,282.84
